SP_SPX, 60 (2)
time,open,high,low,close,Volume
2021-02-25T15:30:00-05:00,3828.66,3844.93,3814.04,3829.33,0
2021-02-26T09:30:00-05:00,3847.85,3853.29,3789.54,3790.45,0
2021-02-26T10:30:00-05:00,3790.71,3842.54,3790.71,3824.71,0
2021-02-26T11:30:00-05:00,3824.46,3861.08,3823.66,3852.79,0
2021-02-26T12:30:00-05:00,3852.77,3857.82,3833.23,3850.7,0
2021-02-26T13:30:00-05:00,3850.81,3852.01,3816.64,3823.68,0
2021-02-26T14:30:00-05:00,3823.71,3849.13,3821.09,3830.79,0
2021-02-26T15:30:00-05:00,3830.88,3853.06,3809.33,3811.14,0
2021-03-01T09:30:00-05:00,3842.51,3889.82,3842.51,3886.09,0
2021-03-01T10:30:00-05:00,3886.15,3899.66,3885.37,3893.29,0
2021-03-01T11:30:00-05:00,3893.53,3902.01,3893.25,3899.37,0
2021-03-01T12:30:00-05:00,3899.19,3902.15,3888.6,3895.75,0
2021-03-01T13:30:00-05:00,3895.74,3910.11,3895.74,3909.29,0
2021-03-01T14:30:00-05:00,3909.44,3914.5,3906.03,3908.63,0
2021-03-01T15:30:00-05:00,3908.64,3910.29,3896.09,3901.81,0
2021-03-02T09:30:00-05:00,3903.64,3906.41,3882.02,3882.02,0
2021-03-02T10:30:00-05:00,3881.93,3889.85,3875.63,3884.87,0
2021-03-02T11:30:00-05:00,3885.37,3891.15,3871.96,3887.91,0
2021-03-02T12:30:00-05:00,3887.96,3899.44,3887.56,3896.37,0
2021-03-02T13:30:00-05:00,3896.42,3902.64,3888.65,3888.72,0
2021-03-02T14:30:00-05:00,3888.75,3899,3884.17,3884.17,0
2021-03-02T15:30:00-05:00,3884.1,3887.47,3868.57,3870.28,0
2021-03-03T09:30:00-05:00,3863.99,3874.47,3837.71,3846.54,0
2021-03-03T10:30:00-05:00,3845.94,3869,3839.28,3868.94,0
2021-03-03T11:30:00-05:00,3868.91,3869.87,3852.82,3854.11,0
2021-03-03T12:30:00-05:00,3854.26,3863.09,3849.1,3859.68,0
2021-03-03T13:30:00-05:00,3859.7,3859.7,3835.43,3837.39,0
2021-03-03T14:30:00-05:00,3837.38,3848.13,3827.77,3834.74,0
2021-03-03T15:30:00-05:00,3835.14,3841.88,3818.86,3819.71,0
2021-03-04T09:30:00-05:00,3818.53,3838.62,3790.08,3808.03,0
2021-03-04T10:30:00-05:00,3807.77,3832.74,3805.17,3824.59,0
2021-03-04T11:30:00-05:00,3824.65,3843.67,3801.64,3809.79,0
2021-03-04T12:30:00-05:00,3809.96,3811.72,3755.14,3771.63,0
2021-03-04T13:30:00-05:00,3771.54,3771.54,3723.34,3765.66,0
2021-03-04T14:30:00-05:00,3765.55,3779.27,3749.19,3763.34,0
2021-03-04T15:30:00-05:00,3763.32,3775.67,3757.87,3768.46,0
2021-03-05T09:30:00-05:00,3793.58,3808.01,3762.54,3765.34,0
2021-03-05T10:30:00-05:00,3765.32,3773.08,3730.19,3734.36,0
2021-03-05T11:30:00-05:00,3734.4,3785.82,3734.4,3784.42,0
2021-03-05T12:30:00-05:00,3784.39,3813.83,3779.98,3811.64,0
2021-03-05T13:30:00-05:00,3811.94,3823.26,3804.29,3821.47,0
2021-03-05T14:30:00-05:00,3821.28,3840.61,3821.28,3837.25,0
2021-03-05T15:30:00-05:00,3837.25,3851.69,3834.82,3841.93,0
2021-03-08T09:30:00-05:00,3852.8,3873.14,3833.48,3872.08,0
2021-03-08T10:30:00-05:00,3871.88,3878.07,3864.62,3876.23,0
2021-03-08T11:30:00-05:00,3876.29,3876.64,3855.91,3873.52,0
