time,open,high,low,close,SMA,trend,morning_star,evening_star,bullish_harami,bearish_harami,green_hammer,red_hammer,bull_kicker,bear_kicker,green_shooting_star,red_shooting_star,candlesticks
2018-10-03 09:30:00-04:00,2931.69,2939.86,2931.69,2937.36,,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-03 10:30:00-04:00,2937.36,2937.55,2931.77,2935.51,,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-03 11:30:00-04:00,2935.51,2937.69,2931.83,2937.1,2936.656666666667,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-03 12:30:00-04:00,2937.1,2937.34,2934.03,2936.06,2936.2233333333334,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-03 13:30:00-04:00,2936.07,2937.37,2934.4,2935.11,2936.09,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-03 14:30:00-04:00,2935.11,2935.16,2921.36,2923.74,2931.6366666666668,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-03 15:30:00-04:00,2923.76,2927.33,2923.54,2925.51,2928.1200000000003,False,False,False,True,False,False,False,False,False,False,False,BLLHRM
2018-10-04 09:30:00-04:00,2919.35,2919.78,2901.65,2903.85,2917.7000000000003,False,False,False,False,False,False,False,False,True,False,False,BERKCK
2018-10-04 10:30:00-04:00,2903.81,2908.7,2901.59,2903.96,2911.1066666666666,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-04 11:30:00-04:00,2904.05,2905.27,2890.17,2893.77,2900.5266666666666,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-04 12:30:00-04:00,2893.71,2900.03,2887.75,2890.97,2896.233333333333,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-04 13:30:00-04:00,2890.99,2892.21,2883.92,2887.65,2890.7966666666666,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-04 14:30:00-04:00,2887.67,2901.29,2886.63,2895.77,2891.463333333333,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-04 15:30:00-04:00,2895.76,2903.72,2893.68,2901.61,2895.01,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-05 09:30:00-04:00,2902.54,2909.64,2898.75,2904.33,2900.5699999999997,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-05 10:30:00-04:00,2904.34,2904.47,2887.77,2888.55,2898.1633333333334,False,False,True,False,False,False,False,False,False,False,False,EVNSTR
2018-10-05 11:30:00-04:00,2888.62,2889.94,2876.82,2880.41,2891.096666666667,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-05 12:30:00-04:00,2880.34,2880.34,2869.47,2870.88,2879.9466666666667,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-05 13:30:00-04:00,2870.98,2883.99,2869.29,2883.87,2878.3866666666668,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-05 14:30:00-04:00,2883.86,2890.13,2882.62,2886.29,2880.346666666667,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-05 15:30:00-04:00,2886.3,2890.42,2881.62,2885.57,2885.2433333333333,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-08 09:30:00-04:00,2877.53,2888.87,2873.85,2887.36,2886.406666666667,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-08 10:30:00-04:00,2887.41,2887.64,2876.33,2876.54,2883.156666666667,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-08 11:30:00-04:00,2876.5,2876.6,2862.08,2872.17,2878.69,False,False,False,False,False,False,True,False,False,False,False,RDHM
2018-10-08 12:30:00-04:00,2872.14,2872.24,2862.66,2865.0,2871.236666666666,False,False,False,False,False,False,False,False,False,False,False,False
2018-10-08 13:30:00-04:00,2864.97,2881.38,2864.85,2879.51,2872.226666666667,True,False,False,False,False,False,False,False,False,False,False,False
2018-10-08 14:30:00-04:00,2879.53,2888.4,2879.53,2884.69,2876.4,True,False,False,False,False,False,False,False,False,False,False,False
