time,open,high,low,close,month,year,morning_star_1,morning_star_3
2018-10-26,2668.23,2674.48,2641.82,2657.51,10,2018,False,False
2018-10-26,2657.46,2672.11,2647.38,2658.69,10,2018,False,False
2018-10-29,2682.65,2706.85,2682.65,2702.37,10,2018,False,True
2018-10-30,2662.72,2663.86,2644.18,2646.12,10,2018,False,False
2018-10-30,2645.99,2659.67,2640.54,2650.7,10,2018,False,False
2018-10-30,2650.93,2678.08,2647.61,2675.35,10,2018,False,True
2018-11-05,2740.68,2744.27,2733.71,2737.33,11,2018,False,False
2018-11-05,2737.35,2740.48,2734.55,2738.31,11,2018,False,False
2018-11-06,2738.4,2752.07,2737.08,2747.44,11,2018,False,True
2018-11-14,2716.08,2716.08,2697.91,2703.92,11,2018,False,False
2018-11-14,2703.85,2706.7,2685.75,2699.22,11,2018,False,False
2018-11-14,2699.17,2722.05,2696.16,2715.76,11,2018,True,False
2018-11-19,2691.81,2697.03,2685.97,2688.1,11,2018,False,False
2018-11-19,2688.16,2697.06,2681.09,2688.04,11,2018,False,False
2018-11-19,2688.02,2701.96,2683.65,2695.61,11,2018,False,True
2018-11-20,2654.6,2659.69,2632.51,2649.3,11,2018,False,False
2018-11-20,2649.53,2667.44,2646.8,2651.14,11,2018,False,False
2018-11-20,2651.17,2669.44,2648.47,2661.65,11,2018,False,True
2018-11-23,2639.51,2642.11,2632.03,2632.56,11,2018,False,False
2018-11-23,2632.56,2632.56,2632.56,2632.56,11,2018,False,False
2018-11-26,2659.65,2670.22,2658.33,2669.15,11,2018,False,True
2018-11-26,2659.47,2661.59,2652.86,2659.61,11,2018,False,False
2018-11-26,2649.97,2671.64,2649.97,2666.46,11,2018,False,True
2018-11-26,2665.98,2666.85,2658.4,2659.46,11,2018,False,False
2018-12-24,2369.98,2375.15,2351.1,2351.1,12,2018,False,False
2018-12-26,2363.12,2386.48,2349.33,2359.81,12,2018,False,False
2018-12-26,2359.82,2374.18,2346.58,2373.07,12,2018,False,True
2019-01-03,2469.41,2472.83,2449.14,2452.85,1,2019,False,False
2019-01-03,2453.0,2460.87,2443.96,2447.89,1,2019,False,False
2019-01-04,2474.33,2516.28,2474.33,2516.28,1,2019,False,True
2019-01-16,2620.83,2622.44,2614.11,2618.72,1,2019,False,False
2019-01-16,2618.74,2620.94,2615.9,2619.37,1,2019,False,False
2019-01-16,2619.37,2623.69,2618.72,2623.29,1,2019,False,True
2019-01-18,2668.47,2670.95,2665.06,2666.06,1,2019,False,False
2019-01-18,2665.9,2667.82,2661.93,2665.86,1,2019,False,False
2019-01-18,2665.91,2673.74,2663.37,2670.71,1,2019,False,True
2019-01-22,2625.77,2634.17,2618.23,2632.9,1,2019,False,True
2019-01-22,2628.19,2632.36,2624.53,2624.64,1,2019,False,False
2019-01-22,2624.65,2626.37,2617.27,2625.76,1,2019,False,False
2019-02-26,2795.06,2803.12,2795.06,2799.67,2,2019,False,True
2019-02-26,2795.34,2796.97,2793.47,2795.06,2,2019,False,False
2019-02-26,2796.56,2797.0,2792.98,2795.38,2,2019,False,False
2019-03-12,2791.69,2795.34,2789.03,2791.52,3,2019,False,False
2019-03-12,2794.37,2795.84,2787.84,2791.69,3,2019,False,False
2019-03-13,2799.78,2809.06,2799.78,2806.49,3,2019,False,True
2019-03-22,2811.76,2811.85,2800.47,2800.71,3,2019,False,False
2019-03-25,2791.52,2809.79,2790.78,2809.41,3,2019,True,False
2019-03-25,2796.01,2807.76,2785.34,2791.5,3,2019,False,False
2019-03-26,2813.56,2813.62,2805.71,2806.28,3,2019,False,False
2019-03-26,2806.19,2814.07,2803.99,2808.4,3,2019,False,False
2019-03-26,2808.49,2818.84,2807.03,2818.46,3,2019,False,True
2019-04-18,2896.68,2905.43,2896.68,2904.99,4,2019,False,True
2019-04-18,2904.81,2906.0,2893.69,2894.89,4,2019,False,False
2019-04-18,2894.9,2901.17,2891.9,2896.69,4,2019,False,False
2019-04-25,2930.87,2932.66,2926.06,2926.17,4,2019,False,False
2019-04-26,2925.81,2927.18,2917.56,2926.26,4,2019,False,False
2019-04-26,2926.25,2931.35,2923.68,2931.29,4,2019,False,True
2019-05-01,2949.22,2954.13,2944.45,2946.44,5,2019,False,False
2019-05-01,2946.46,2948.9,2941.67,2946.32,5,2019,False,False
2019-05-01,2946.29,2954.01,2945.52,2951.27,5,2019,False,True
2019-05-07,2870.83,2885.8,2862.6,2884.05,5,2019,False,True
2019-05-07,2871.65,2877.66,2867.03,2870.88,5,2019,False,False
2019-05-07,2875.29,2880.38,2871.27,2871.59,5,2019,False,False
2019-05-09,2838.28,2858.07,2838.28,2856.02,5,2019,True,True
2019-05-09,2855.61,2857.88,2836.95,2840.54,5,2019,False,False
2019-05-09,2840.48,2847.41,2836.4,2838.23,5,2019,False,False
2019-05-13,2817.35,2823.83,2809.22,2810.42,5,2019,False,False
2019-05-13,2810.21,2814.47,2804.09,2811.87,5,2019,False,False
2019-05-14,2820.12,2837.39,2820.12,2836.49,5,2019,False,True
