time,open,high,low,close,month,year,evening_star_1,evening_star_3
2018-10-04,2895.76,2903.72,2893.68,2901.61,10,2018,False,False
2018-10-05,2902.54,2909.64,2898.75,2904.33,10,2018,False,False
2018-10-05,2904.34,2904.47,2887.77,2888.55,10,2018,True,True
2018-11-06,2746.56,2751.18,2743.61,2749.49,11,2018,False,False
2018-11-06,2749.49,2753.85,2749.31,2750.33,11,2018,False,False
2018-11-06,2750.32,2752.38,2739.14,2740.36,11,2018,False,True
2018-11-09,2765.6,2787.43,2765.52,2784.74,11,2018,False,False
2018-11-09,2784.7,2790.17,2780.71,2781.01,11,2018,False,False
2018-11-12,2773.93,2775.99,2753.16,2759.58,11,2018,False,True
2018-11-21,2664.31,2668.85,2662.56,2665.27,11,2018,False,False
2018-11-21,2665.25,2667.68,2662.8,2665.49,11,2018,False,False
2018-11-21,2665.5,2666.42,2658.66,2658.73,11,2018,False,True
2018-11-29,2748.62,2748.62,2737.17,2737.8,11,2018,False,True
2018-11-29,2746.79,2753.75,2745.91,2748.64,11,2018,False,False
2018-11-29,2738.68,2748.55,2737.67,2746.82,11,2018,False,False
2018-12-03,2789.49,2792.63,2784.23,2790.37,12,2018,False,False
2018-12-03,2785.36,2791.38,2780.66,2789.49,12,2018,False,False
2018-12-04,2782.43,2785.93,2769.09,2773.49,12,2018,False,True
2019-01-04,2525.7,2538.07,2523.39,2532.94,1,2019,False,False
2019-01-04,2532.99,2536.55,2522.58,2530.91,1,2019,False,False
2019-01-04,2530.9,2534.59,2522.13,2524.54,1,2019,False,True
2019-01-16,2623.82,2623.87,2615.05,2616.1,1,2019,False,True
2019-01-16,2619.37,2623.69,2618.72,2623.29,1,2019,False,False
2019-01-16,2623.27,2625.76,2620.78,2623.81,1,2019,False,False
2019-01-22,2625.77,2634.17,2618.23,2632.9,1,2019,False,False
2019-01-23,2641.56,2642.99,2626.53,2629.93,1,2019,True,False
2019-01-23,2643.48,2653.19,2641.05,2641.51,1,2019,False,False
2019-02-05,2733.9,2737.62,2732.4,2737.32,2,2019,False,False
2019-02-05,2737.28,2738.98,2734.43,2737.7,2,2019,False,False
2019-02-06,2735.05,2738.08,2724.15,2727.45,2,2019,False,True
2019-02-12,2744.8,2748.19,2744.8,2746.61,2,2019,False,False
2019-02-12,2746.61,2747.62,2744.22,2747.01,2,2019,False,False
2019-02-12,2747.01,2747.07,2742.03,2744.73,2,2019,False,True
2019-02-19,2780.64,2784.12,2779.11,2783.79,2,2019,False,False
2019-02-19,2783.8,2787.33,2783.55,2784.25,2,2019,False,False
2019-02-19,2784.23,2786.22,2779.03,2779.76,2,2019,False,True
2019-02-20,2779.05,2783.14,2777.55,2782.75,2,2019,False,False
2019-02-20,2779.43,2787.23,2779.4,2784.55,2,2019,False,False
2019-02-20,2782.89,2786.26,2776.97,2777.14,2,2019,False,True
2019-02-20,2782.78,2785.15,2781.16,2782.88,2,2019,False,False
2019-02-20,2784.52,2786.5,2782.29,2784.7,2,2019,False,False
2019-02-21,2780.24,2780.77,2769.62,2770.84,2,2019,False,True
2019-02-21,2772.78,2779.78,2772.37,2778.29,2,2019,False,False
2019-02-21,2778.29,2781.58,2777.71,2778.11,2,2019,False,False
2019-02-21,2778.11,2778.8,2769.81,2771.98,2,2019,False,True
2019-03-01,2801.34,2806.56,2800.53,2803.69,3,2019,False,False
2019-03-04,2813.99,2814.92,2794.41,2794.6,3,2019,False,True
2019-03-04,2814.37,2816.88,2809.07,2813.96,3,2019,False,False
2019-03-26,2808.49,2818.84,2807.03,2818.46,3,2019,False,False
2019-03-27,2819.72,2825.56,2813.12,2821.64,3,2019,False,False
2019-03-27,2821.57,2822.73,2796.9,2796.9,3,2019,True,True
2019-04-17,2895.9,2901.96,2895.9,2900.74,4,2019,False,False
2019-04-17,2900.74,2903.19,2900.39,2900.45,4,2019,False,False
2019-04-18,2904.81,2906.0,2893.69,2894.89,4,2019,False,True
2019-04-24,2934.0,2934.52,2928.47,2934.11,4,2019,False,False
2019-04-24,2934.21,2936.83,2932.47,2934.24,4,2019,False,False
2019-04-24,2934.22,2935.93,2930.21,2932.62,4,2019,False,True
2019-05-06,2924.64,2936.48,2924.54,2934.76,5,2019,False,False
2019-05-06,2934.8,2937.32,2931.45,2932.47,5,2019,False,False
2019-05-07,2913.03,2913.03,2890.42,2900.31,5,2019,False,True
2019-05-17,2874.46,2877.99,2872.38,2873.45,5,2019,False,False
2019-05-17,2873.45,2875.28,2858.49,2864.69,5,2019,False,True
2019-05-17,2870.27,2878.55,2868.28,2874.45,5,2019,False,False
2019-06-03,2751.53,2759.63,2738.12,2758.55,6,2019,False,False
2019-06-03,2758.62,2763.07,2753.75,2756.47,6,2019,False,False
