time,open,high,low,close,morning_star_1,evening_star_1,morning_star_3,evening_star_3
2021-03-03 11:30:00-05:00,3868.91,3869.87,3852.82,3854.11,False,False,False,False
2021-03-03 12:30:00-05:00,3854.26,3863.09,3849.1,3859.68,False,False,False,False
2021-03-03 13:30:00-05:00,3859.7,3859.7,3835.43,3837.39,False,False,False,False
2021-03-03 14:30:00-05:00,3837.38,3848.13,3827.77,3834.74,False,False,False,False
2021-03-03 15:30:00-05:00,3835.14,3841.88,3818.86,3819.71,False,False,False,False
2021-03-04 09:30:00-05:00,3818.53,3838.62,3790.08,3808.03,False,False,False,False
2021-03-04 10:30:00-05:00,3807.77,3832.74,3805.17,3824.59,False,False,False,False
2021-03-04 11:30:00-05:00,3824.65,3843.67,3801.64,3809.79,False,False,False,False
2021-03-04 12:30:00-05:00,3809.96,3811.72,3755.14,3771.63,False,False,False,False
2021-03-04 13:30:00-05:00,3771.54,3771.54,3723.34,3765.66,False,False,False,False
2021-03-04 14:30:00-05:00,3765.55,3779.27,3749.19,3763.34,False,False,False,False
2021-03-04 15:30:00-05:00,3763.32,3775.67,3757.87,3768.46,False,False,False,False
2021-03-05 09:30:00-05:00,3793.58,3808.01,3762.54,3765.34,False,False,False,False
2021-03-05 10:30:00-05:00,3765.32,3773.08,3730.19,3734.36,False,False,False,False
2021-03-05 11:30:00-05:00,3734.4,3785.82,3734.4,3784.42,False,False,False,False
2021-03-05 12:30:00-05:00,3784.39,3813.83,3779.98,3811.64,False,False,False,False
2021-03-05 13:30:00-05:00,3811.94,3823.26,3804.29,3821.47,False,False,False,False
2021-03-05 14:30:00-05:00,3821.28,3840.61,3821.28,3837.25,False,False,False,False
2021-03-05 15:30:00-05:00,3837.25,3851.69,3834.82,3841.93,False,False,False,False
2021-03-08 09:30:00-05:00,3852.8,3873.14,3833.48,3872.08,False,False,False,False
2021-03-08 10:30:00-05:00,3871.88,3878.07,3864.62,3876.23,False,False,False,False
